"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"31";"12001015013P9";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"BIOTECNOLOGIA";"MESTRADO/DOUTORADO";27;12;2;0;12;2;0;0,518518518518518
"32";"12001015014P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SOCIEDADE E CULTURA NA AMAZÔNIA";"MESTRADO/DOUTORADO";26;0;0;0;0;0;0;0
"33";"12001015015P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"MATEMÁTICA";"MESTRADO";24;0;0;0;0;0;0;0
"34";"12001015016P8";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS FLORESTAIS E AMBIENTAIS";"MESTRADO";16;10;9;0;10;9;0;1,1875
"35";"12001015018P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA";"MESTRADO";12;0;0;0;0;0;0;0
"36";"12001015021P1";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENGENHARIA ELÉTRICA";"MESTRADO";9;0;2;7;0;2;7;1
"37";"12001015022P8";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENGENHARIA CIVIL";"MESTRADO";8;0;0;0;0;0;0;0
"38";"12001015023P4";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"HISTÓRIA";"MESTRADO";16;0;0;0;0;0;0;0
"39";"12001015024P0";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SOCIOLOGIA";"MESTRADO";14;0;0;0;0;0;0;0
"40";"12001015025P7";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS PESQUEIRAS NOS TRÓPICOS";"MESTRADO/DOUTORADO";15;0;0;0;0;0;0;0
"41";"12001015026P3";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"GEOGRAFIA";"MESTRADO";19;0;0;0;0;0;0;0
"42";"12001015027P0";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SERVIÇO SOCIAL";"MESTRADO";13;0;0;0;0;0;0;0
"43";"12001015029P2";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"ANTROPOLOGIA SOCIAL";"MESTRADO/DOUTORADO";16;0;0;0;0;0;0;0
"44";"12001015032P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS DA COMUNICAÇÃO";"MESTRADO";16;0;0;0;0;0;0;0
"45";"12001015033P0";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";16;7;1;0;7;1;0;0,5
"46";"12001015034P6";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"IMUNOLOGIA BÁSICA E APLICADA";"MESTRADO/DOUTORADO";27;1;2;0;1;2;0;0,111111111111111
"47";"12001015035P2";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA E ENGENHARIA DE MATERIAIS";"MESTRADO";17;0;0;0;0;0;0;0
"48";"12001015036P9";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"PSICOLOGIA";"MESTRADO";12;0;0;0;0;0;0;0
"49";"12001015037P5";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"LETRAS";"MESTRADO";24;0;0;0;0;0;0;0
"50";"12001015038P1";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE";"DOUTORADO";149;39;0;0;39;0;0;0,261744966442953
"51";"12001015039P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS DA SAÚDE";"MESTRADO";12;0;0;0;0;0;0;0
"52";"12001015040P6";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ODONTOLOGIA";"MESTRADO";14;0;0;0;0;0;0;0
"53";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA E TECNOLOGIA PARA RECURSOS AMAZÔNICOS";"MESTRADO";21;0;0;0;0;0;0;0
"54";"12001015042P9";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENSINO DE CIÊNCIAS E MATEMÁTICA";"MESTRADO";18;0;1;0;0;1;0;0,0555555555555556
"55";"12001015063P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"ZOOLOGIA";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
"56";"12001015064P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS AMBIENTAIS";"MESTRADO";19;0;0;0;0;0;0;0
"57";"12001015065P9";"MEDICINA III";"MEDIII";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"NORTE";"AM";"UFAM";"MESTRADO PROFISSIONAL EM CIRURGIA";"MESTRADO PROF.";16;0;0;0;0;0;0;0
"58";"12001015066P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA ANIMAL";"MESTRADO";17;0;0;0;0;0;0;0
"59";"12001015171P3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;0;0;0;0;0;0;0
"60";"12001015172P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;0;0;0;0;0;0;0
"61";"12002011011P2";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORTE";"AM";"INPA";"CLIMA E AMBIENTE - INPA - UEA";"MESTRADO/DOUTORADO";13;1;0;0;1;0;0;0,0769230769230769
"62";"12006017003P5";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"PARTICULAR";"PRIVADA";2010;"ACADÊMICO";"3";"NORTE";"AM";"UNINILTON";"AQUICULTURA";"MESTRADO/DOUTORADO";13;0;0;1;0;0;1;0,0769230769230769
"63";"12008010001P9";"MEDICINA II";"MEDII";"ESTADUAL";"PÚBLICA";2002;"ACADÊMICO";"5";"NORTE";"AM";"UEA";"MEDICINA TROPICAL";"MESTRADO/DOUTORADO";25;0;0;0;0;0;0;0
"64";"12008010002P5";"DIREITO";"DIRE";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"DIREITO AMBIENTAL";"MESTRADO";12;0;0;0;0;0;0;0
"65";"12008010003P1";"BIOTECNOLOGIA";"BIOT";"ESTADUAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"BIOTECNOLOGIA E RECURSOS NATURAIS DA AMAZÔNIA";"MESTRADO";15;4;0;1;4;0;1;0,333333333333333
"66";"12008010005P4";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"4";"NORTE";"AM";"UEA";"EDUCAÇÃO EM CIÊNCIAS NA AMAZÔNIA";"MESTRADO";10;0;0;0;0;0;0;0
"67";"12008010007P7";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"AM";"UEA";"SEGURANÇA PÚBLICA, CIDADANIA E DIREITOS HUMANOS";"MESTRADO PROF.";14;0;0;0;0;0;0;0
"68";"12008010008P3";"MEDICINA II";"MEDII";"ESTADUAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"HEMATOLOGIA";"MESTRADO";15;0;0;2;0;0;2;0,133333333333333
"69";"12008010039P6";"LETRAS / LINGUÍSTICA";"LETR";"ESTADUAL";"PÚBLICA";2015;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"LETRAS E ARTES";"MESTRADO";15;0;0;0;0;0;0;0
"70";"12008010070P0";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AM";"UEA";"CIÊNCIAS HUMANAS";"MESTRADO";16;0;0;0;0;0;0;0
"71";"12008010071P7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13;0;0;0;0;0;0;0
"72";"13001019001P3";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2004;"ACADÊMICO";"4";"NORTE";"RR";"UFRR";"RECURSOS NATURAIS";"MESTRADO/DOUTORADO";21;0;0;0;0;0;0;0
"73";"13001019002P0";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"RR";"UFRR";"FÍSICA";"MESTRADO";8;0;0;0;0;0;0;0
"74";"13001019003P6";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"RR";"UFRR";"QUIMICA";"MESTRADO";7;0;0;0;0;0;0;0
"75";"13001019004P2";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORTE";"RR";"UFRR";"AGRONOMIA";"MESTRADO/DOUTORADO";18;0;2;0;0;2;0;0,111111111111111
"76";"13001019005P9";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RR";"UFRR";"LETRAS";"MESTRADO";20;0;0;0;0;0;0;0
"77";"13001019006P5";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"RR";"UFRR";"GEOGRAFIA";"MESTRADO";10;0;0;0;0;0;0;0
"78";"13001019007P1";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"NORTE";"RR";"UFRR";"CIÊNCIAS DA SAÚDE";"MESTRADO PROF.";15;1;0;0;1;0;0;0,0666666666666667
"79";"13001019008P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"NORTE";"RR";"UFRR";"SOCIEDADE E FRONTEIRAS";"MESTRADO";18;0;0;7;0;0;7;0,388888888888889
"80";"13001019039P0";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"RR";"UFRR";"ANTROPOLOGIA SOCIAL";"MESTRADO";10;0;0;0;0;0;0;0
"81";"13003011001P6";"ENSINO";"ENSI";"ESTADUAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"RR";"UERR";"ENSINO DE CIÊNCIAS";"MESTRADO PROF.";14;0;0;0;0;0;0;0
"82";"13003011002P2";"CIÊNCIAS AMBIENTAIS";"CAMB";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"RR";"UERR";"AGROECOLOGIA";"MESTRADO";16;0;0;0;0;0;0;0
"83";"13003011003P9";"EDUCAÇÃO";"EDUC";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"RR";"UERR";"EDUCAÇÃO";"MESTRADO";19;0;0;0;0;0;0;0
"84";"13003011004P5";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"NORTE";"RR";"UERR";"SEGURANÇA PÚBLICA, DIREITOS HUMANOS E CIDADANIA";"MESTRADO PROF.";19;0;0;0;0;0;0;0
"85";"14001012001P6";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"MESTRADO INTEGRADO EM DESENVOLVIMENTO REGIONAL";"MESTRADO";19;0;0;0;0;0;0;0
"86";"14001012003P9";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"AP";"UNIFAP";"BIODIVERSIDADE TROPICAL";"MESTRADO/DOUTORADO";15;1;1;0;1;1;0;0,133333333333333
"87";"14001012004P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"CIÊNCIAS DA SAÚDE";"MESTRADO";20;1;0;0;1;0;0;0,05
"88";"14001012005P1";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"AP";"UNIFAP";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";15;9;1;0;9;1;0;0,666666666666667
"89";"14001012156P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;0;0;0;0;0;0;0
"90";"14001012157P6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;0;0;0;0;0;0;0
"91";"14001012158P2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;0;0;0;0;0;0;0
"92";"15001016002P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"DESENVOLVIMENTO SUSTENTÁVEL DO TRÓPICO ÚMIDO";"MESTRADO/DOUTORADO";20;0;0;3;0;0;3;0,15
"93";"15001016003P1";"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";1984;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"DIREITO";"MESTRADO/DOUTORADO";31;0;0;0;0;0;0;0
"94";"15001016004P8";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";1986;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"ENGENHARIA ELÉTRICA";"MESTRADO/DOUTORADO";20;26;0;4;26;0;4;1,5
"95";"15001016007P7";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"QUÍMICA";"MESTRADO/DOUTORADO";24;7;3;0;7;3;0;0,416666666666667
"96";"15001016008P3";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"LETRAS: LINGÜÍSTICA E TEORIA LITERÁRIA";"MESTRADO/DOUTORADO";29;0;0;0;0;0;0;0
"97";"15001016009P0";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"5";"NORTE";"PA";"UFPA";"PSICOLOGIA (TEORIA E PESQUISA DO COMPORTAMENTO)";"MESTRADO/DOUTORADO";11;0;1;3;0;1;3;0,363636363636364
"98";"15001016010P8";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA QUÍMICA";"MESTRADO";12;3;7;0;3;7;0;0,833333333333333
"99";"15001016015P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"DOENÇAS TROPICAIS";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
"100";"15001016016P6";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"GEOFÍSICA";"MESTRADO/DOUTORADO";11;0;0;0;0;0;0;0
"101";"15001016017P2";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"6";"NORTE";"PA";"UFPA";"GEOLOGIA E GEOQUÍMICA";"MESTRADO/DOUTORADO";24;0;0;0;0;0;0;0
"102";"15001016018P9";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"ENGENHARIA MECÂNICA";"MESTRADO";17;4;0;0;4;0;0;0,235294117647059
"103";"15001016022P6";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"ZOOLOGIA";"MESTRADO/DOUTORADO";25;0;0;0;0;0;0;0
"104";"15001016027P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";"NORTE";"PA";"UFPA";"AGRICULTURAS AMAZÔNICAS";"MESTRADO";15;0;0;0;0;0;0;0
"105";"15001016028P4";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"PA";"UFPA";"CIÊNCIA ANIMAL";"MESTRADO/DOUTORADO";21;1;0;0;1;0;0;0,0476190476190476
